Name,Price,Original Prices,Discount rates,Brand,Image
Men Solid Ankle Length,279,499,44% off,Navy Sport,https://rukminim1.flixcart.com/image/329/395/jst930w0/sock/g/y/2/free-ns1-navy-sport-original-imafeb8eyxxmagpz.jpeg?q=50
Solid Men Round Neck Grey T-Shirt,399,"1,499",73% off,Wrath,https://rukminim1.flixcart.com/image/329/395/k6l2vm80/t-shirt/c/c/z/s-classic-life-light-gray-wrath-original-imafpyeedgxhx9cm.jpeg?q=50
Military Camouflage Men Round Neck Dark Green T-Shirt,399,999,60% off,Unisopent Designs,https://rukminim1.flixcart.com/image/329/395/js4yljk0/t-shirt/g/j/5/m-inkovy-roundneck-full-camogreen-m-inkovy-original-imaf4yfxdxujthcj.jpeg?q=50
Solid Men Black Track Pants,989,"1,599",38% off,Wildcraft,https://rukminim1.flixcart.com/image/329/395/jyyqc280/track-pant/p/g/s/m-41864black-wildcraft-original-imafj3h4zh8rgjzt.jpeg?q=50
Slim Men Grey Jeans,664,"1,899",65% off,Highlander,https://rukminim1.flixcart.com/image/329/395/k70spzk0/jean/k/z/n/30-hljn001095-highlander-original-imafpchp9m7spgam.jpeg?q=50
Zone Stretch Men Trunk,278,279,NaN,Jockey,https://rukminim1.flixcart.com/image/329/395/jwuzzww0/brief/g/j/p/l-skyhorn-us21-bl-jockey-original-imaf5aceqbtnjbbp.jpeg?q=50
Printed Men Hooded Neck Red T-Shirt,379,"1,399",72% off,Tripr,https://rukminim1.flixcart.com/image/329/395/k0sgl8w0/t-shirt/w/g/y/l-trdhdful-just-tripr-original-imafkhnyfzj3ehfb.jpeg?q=50
Checkered Men Grey Regular Shorts,359,899,60% off,Tripr,https://rukminim1.flixcart.com/image/329/395/jsc3ssw0/short/t/c/r/l-tblgyshort-s3chk-tripr-original-imafdwgakjg4mqnz.jpeg?q=50
Checkered Men Boxer,533,"1,099",51% off,Metronaut,https://rukminim1.flixcart.com/image/329/395/j7qi9ow0/boxer/s/z/6/m-mb3c002-metronaut-original-imaexww2y4tnrd4e.jpeg?q=50
Men & Women Geometric Print Mid-Calf/Crew,219,499,56% off,HICODE,https://rukminim1.flixcart.com/image/329/395/k4yhtow0/sock/h/7/k/free-fulldiamond-0431-4-pair-multi-hicode-original-imafnqfyguj2h82v.jpeg?q=50
"Striped Men Round Neck Reversible White, Black, Yellow ...",269,679,60% off,Jump Cuts,https://rukminim1.flixcart.com/image/329/395/juvjzbk0/t-shirt/k/h/s/l-jc-19-rn-hs-white-ylw-blk-strip-jump-cuts-original-imaffvzzpssd6f9h.jpeg?q=50
Men Solid Calf Length,299,699,57% off,Glinto,https://rukminim1.flixcart.com/image/329/395/k2rwlu80/sock/r/x/d/free-3pk-gn-f-multi-l-glinto-original-imafmf6yp2byqqmk.jpeg?q=50
Men & Women Ankle Length,201,397,49% off,Jockey,https://rukminim1.flixcart.com/image/329/395/jqidjm80/sock/s/c/k/free-jok-pra-pk-3-jockey-original-imafc8eg4v3hh3cg.jpeg?q=50
Men & Women Printed Ankle Length,179,499,64% off,hicode,https://rukminim1.flixcart.com/image/329/395/kamtsi80/sock/x/b/d/free-sport-0252-hicode-original-imafknr73thyz4rz.jpeg?q=50
Printed Men Dark Blue Cargo Shorts,299,888,66% off,JUGULAR,https://rukminim1.flixcart.com/image/329/395/k7m8brk0/short/t/z/h/s-shorts-skull-blk-jugular-original-imafptgvcvkphgyg.jpeg?q=50
Rupa Men Vest,279,280,NaN,NaN,https://rukminim1.flixcart.com/image/329/395/j4u74i80/vest/a/g/j/90-32-rupa-original-imaezwdctwpmcunf.jpeg?q=50
JUGULAR Men Vest,220,888,75% off,NaN,https://rukminim1.flixcart.com/image/329/395/jvy4vbk0/vest/g/m/z/m-1pvest97-gry-jugular-original-imafgf569pgbeadd.jpeg?q=50
Typography Men Hooded Neck Dark Blue T-Shirt,349,"1,399",75% off,Tripr,https://rukminim1.flixcart.com/image/329/395/k4vmxzk0/t-shirt/s/q/2/xl-tnvhdful-urself-tripr-original-imafnzyg5p4zznah.jpeg?q=50
Men Trunks,238,239,NaN,Jockey,https://rukminim1.flixcart.com/image/329/395/js6e1e80/trunk/d/y/r/80-85-cm-8015-charcoal-1-jockey-original-imaf5ac6stvbrxsr.jpeg?q=50
Printed Men Boxer,478,479,NaN,Van Heusen,https://rukminim1.flixcart.com/image/329/395/jsxjekw0/boxer/2/e/r/m-1-10112-cpb02-van-heusen-original-imafeehdj8nydm4u.jpeg?q=50
Graphic Print Men Multicolor Bermuda Shorts,799,849,5% off,Bumchums,https://rukminim1.flixcart.com/image/329/395/jmawvbk0/short/u/s/w/l-bumchums-zipprinted-shorts-bumchums-original-imaf98ybz68uffuc.jpeg?q=50
Solid Men Dark Blue Regular Shorts,575,719,20% off,U.S. Polo Assn,https://rukminim1.flixcart.com/image/329/395/jy4q3680/short/s/c/p/m-i634-195-cp-navy-blue-mel-u-s-polo-assn-original-imafgfpuhm4zrgzh.jpeg?q=50
"Typography Men Round Neck Dark Blue, Black T-Shirt",699,"2,599",73% off,London HILLS,https://rukminim1.flixcart.com/image/329/395/k62i5jk0/t-shirt/c/g/e/xxl-707-711-combo-london-hills-original-imafzhzyzpb9nzfc.jpeg?q=50
Men Color Block Mid-Calf/Crew,225,599,62% off,Slim Shine,https://rukminim1.flixcart.com/image/329/395/k2qh5zk0/sock/q/z/7/free-mscn-xm-kinnng-original-imafgk3xuqgnyjcy.jpeg?q=50
"Solid Men Round Neck White, Blue T-Shirt",449,"1,499",70% off,Aelomart,https://rukminim1.flixcart.com/image/329/395/k7gikcw0/t-shirt/z/g/p/m-am-1021bl-aelomart-original-imafpzpucmwcghen.jpeg?q=50
Men & Women Printed Low Cut,269,699,61% off,Jockey,https://rukminim1.flixcart.com/image/329/395/k4ss2a80/sock/n/d/h/free-asstd-024-jockey-original-imafnmhxpz7fbuav.jpeg?q=50
Men & Women Solid Ankle Length,199,699,71% off,Jockey,https://rukminim1.flixcart.com/image/329/395/k2z1t3k0/sock/k/p/h/free-f-asst-4-jockey-original-imafm7ajzrpjvhgx.jpeg?q=50
"Solid Men Blue, Grey Regular Shorts",349,"2,399",85% off,FastColors,https://rukminim1.flixcart.com/image/329/395/k52s58w0/short/p/h/m/s-fc3005-3006-fastcolors-original-imafnuhqtgpcnxst.jpeg?q=50
Embroidered NY Hip Hop Cap Cap,199,226,11% off,Classic,https://rukminim1.flixcart.com/image/329/395/jerf7gw0/cap/5/2/v/free-hi-classic-original-imaf3agf8u3hdcjf.jpeg?q=50
"Men & Women Solid, Self Design Mid-Calf/Crew",199,499,60% off,hicode,https://rukminim1.flixcart.com/image/329/395/jza5uvk0/sock/g/4/e/free-full-0011-hicode-original-imafjbj8dnhyrapt.jpeg?q=50
Striped Men Round Neck Multicolor T-Shirt,314,849,63% off,Maniac,https://rukminim1.flixcart.com/image/329/395/jf9zxjk0/t-shirt/p/d/k/xl-mens-ss18-hs-drop-tail-black-stripes-maniac-original-imaf3ruzq2cgcafz.jpeg?q=50
"Solid Men Round Neck White, Grey T-Shirt",720,"3,199",77% off,FastColors,https://rukminim1.flixcart.com/image/329/395/k4lmv0w0/t-shirt/k/c/v/xxl-4054-4126-fastcolors-original-imafngpdmjspdwzh.jpeg?q=50
Self Design Men Polo Neck Grey T-Shirt,399,799,50% off,Metronaut,https://rukminim1.flixcart.com/image/329/395/jvmpci80/t-shirt/e/y/p/m-msp19cpn001e-metronaut-original-imafgbkyzc2jevbu.jpeg?q=50
"Men & Women Self Design, Solid Ankle Length",249,998,75% off,hicode,https://rukminim1.flixcart.com/image/329/395/kamtsi80/sock/1/m/o/free-sport-0253-hicode-original-imafkntg7gryms4g.jpeg?q=50
Solid Men Turtle Neck Blue T-Shirt,399,999,60% off,Try This,https://rukminim1.flixcart.com/image/329/395/jp02t8w0/t-shirt/q/a/u/xl-098blue-try-this-original-imafbce9hfjhfr83.jpeg?q=50
Regular Fit Men Blue Lycra Blend Trousers,664,"1,599",58% off,AD & AV,https://rukminim1.flixcart.com/image/329/395/k76ihe80/trouser/s/k/y/36-t340-tr-ss-lycra-royal-blue-aa-ad-av-original-imafpggjgxdfpnry.jpeg?q=50
Men Brief,353,500,29% off,Rupa,https://rukminim1.flixcart.com/image/329/395/jc299jk0/brief/4/g/s/80-rupamacromanicdpack4-rupa-original-imaff9whygh3tdrf.jpeg?q=50
Men Brief,399,750,46% off,Nestos,https://rukminim1.flixcart.com/image/329/395/jpbic280/brief/t/j/b/85-1000-icon-oe-nestos-original-imafbg8hvgnqyjcy.jpeg?q=50
Slim Fit Men Black Pure Cotton Trousers,779,"1,299",40% off,Peter England,https://rukminim1.flixcart.com/image/329/395/k1qr5ow0/trouser/v/z/y/38-pctfcslp294503-peter-england-original-imafh32sbku4gxnw.jpeg?q=50
"Solid Men Blue, Black Sports Shorts",779,"1,199",35% off,Wildcraft,https://rukminim1.flixcart.com/image/329/395/jge09e80/short/c/b/z/m-40578blue-mel-wildcraft-original-imaf4mwekgcj9w93.jpeg?q=50
"Color Block Men Round Neck Maroon, Black T-Shirt",479,"1,898",74% off,Rezalia,https://rukminim1.flixcart.com/image/329/395/jxz0brk0/t-shirt/n/g/m/xl-rzl-combo-2strp-mrn-blk-rezalia-original-imafgb7zmkdf926m.jpeg?q=50
Printed Men Boxer,609,"1,899",67% off,Joven,https://rukminim1.flixcart.com/image/329/395/jyafukw0/boxer/m/b/e/l-3-jb3k-bnr-05-joven-original-imafgk4em5jmc6vj.jpeg?q=50
"Solid Men Round Neck Green, Blue, Black T-Shirt",849,"1,699",50% off,Metronaut,https://rukminim1.flixcart.com/image/329/395/jt7jhjk0/t-shirt/e/u/h/m-msp19cnp004c-metronaut-original-imafemdcd6gvamaj.jpeg?q=50
Solid Men Black Track Pants,989,"1,599",38% off,Wildcraft,https://rukminim1.flixcart.com/image/329/395/jyyqc280/track-pant/p/g/s/m-41864black-wildcraft-original-imafj3h4zh8rgjzt.jpeg?q=50
Printed Men Three Fourths,735,"1,999",63% off,Mountain Colours,https://rukminim1.flixcart.com/image/329/395/k7dnonk0/three-fourth/b/h/x/l-mc-4001-green-mountain-colours-original-imafpmz9ynnzpsfn.jpeg?q=50
Men Self Design Casual Button Down Shirt,649,"1,999",67% off,IndoPrimo,https://rukminim1.flixcart.com/image/329/395/k4d27ww0/shirt/j/2/7/l-box-navy-l-indoprimo-original-imafnaggxseterup.jpeg?q=50
Men Solid Casual Spread Shirt,549,"1,849",70% off,Dennis Lingo,https://rukminim1.flixcart.com/image/329/395/jy3anbk0/shirt/e/z/y/l-c301-black-dennis-lingo-original-imafgeu6xveg8v9y.jpeg?q=50
"Solid Men s White, Black T-Shirt",529,"1,349",60% off,Maniac,https://rukminim1.flixcart.com/image/329/395/k3ncakw0/t-shirt/m/2/z/l-men-fw18-hood-fs-white-black-watched-maniac-original-imafmq32datun2qj.jpeg?q=50
Solid Men V Neck Black T-Shirt,209,949,77% off,Rezalia,https://rukminim1.flixcart.com/image/329/395/jx502vk0/t-shirt/s/q/9/xl-rzl-vnk-hf-blk-rezalia-original-imafhne2rmgagrnv.jpeg?q=50
Men & Women Geometric Print Mid-Calf/Crew,219,499,56% off,HICODE,https://rukminim1.flixcart.com/image/329/395/k4yhtow0/sock/h/7/k/free-fulldiamond-0431-4-pair-multi-hicode-original-imafnqfyguj2h82v.jpeg?q=50
Solid Men Round Neck White T-Shirt,284,999,71% off,GHPC,https://rukminim1.flixcart.com/image/329/395/k7m8brk0/t-shirt/z/7/y/s-ts919001-ghpc-original-imafpthdgqntymyh.jpeg?q=50
Printed Men Black Sports Shorts,449,899,50% off,Highlander,https://rukminim1.flixcart.com/image/329/395/k4n2avk0/short/q/z/r/36-hlv8000151-highlander-original-imafnhc3ayx84eyr.jpeg?q=50
Men Brief,208,209,NaN,Jockey,https://rukminim1.flixcart.com/image/329/395/jh80ia80/brief/f/a/e/s-us17black-jockey-original-imaf5a9vjyzk6shg.jpeg?q=50
Men & Women Printed Ankle Length,179,499,64% off,hicode,https://rukminim1.flixcart.com/image/329/395/kamtsi80/sock/x/b/d/free-sport-0252-hicode-original-imafknr73thyz4rz.jpeg?q=50
Gritstones Men Vest,308,749,58% off,NaN,https://rukminim1.flixcart.com/image/329/395/vest/f/b/x/m-gsvsthd1287blkmrn-gritstones-original-imaeryh9d7zvyamz.jpeg?q=50
Cotton Colors Self Design Multicolor Lungi,423,"1,500",71% off,NaN,https://rukminim1.flixcart.com/image/329/395/jea9x8w0/lungi/g/z/3/free-kshan2-99-cotton-colors-original-imaf3y4xn3yztyfq.jpeg?q=50
Solid Men Mandarin Collar Dark Blue T-Shirt,369,"1,299",71% off,Seven Rocks,https://rukminim1.flixcart.com/image/329/395/k69ncsw0/t-shirt/6/j/c/3xl-t15-seven-rocks-original-imafzrhthhpr4hne.jpeg?q=50
Sleeveless Solid Men Sweatshirt,247,749,67% off,Gritstones,https://rukminim1.flixcart.com/image/329/395/vest/w/z/y/m-gsvsthd1291blkrd-gritstones-original-imaeryhavrzyd6cf.jpeg?q=50
"Color Block Men Round Neck Black, Grey T-Shirt",299,899,66% off,Tripr,https://rukminim1.flixcart.com/image/329/395/jqwny4w0/t-shirt/k/z/4/3xl-tblgyrnful-r5-tripr-original-imafcse6fmgtu6y9.jpeg?q=50
Printed Men Boxer,478,479,NaN,Van Heusen,https://rukminim1.flixcart.com/image/329/395/jsxjekw0/boxer/2/e/r/m-1-10112-cpb02-van-heusen-original-imafeehdj8nydm4u.jpeg?q=50
Men Solid Ankle Length,279,499,44% off,Navy Sport,https://rukminim1.flixcart.com/image/329/395/jsuoivk0/sock/p/x/b/free-ns3-navy-sport-original-imafecef3zsftbpw.jpeg?q=50
Solid Men Dark Blue Basic Shorts,648,649,NaN,Van Heusen,https://rukminim1.flixcart.com/image/329/395/jlic2a80/short/z/3/8/xxl-50001-navy-van-heusen-original-imaetudaz24yeh9y.jpeg?q=50
Skinny Men Black Jeans,659,"1,099",40% off,Metronaut,https://rukminim1.flixcart.com/image/329/395/jynat8w0/jean/f/7/6/32-mss19jn037b-metronaut-original-imafgmhn6hhnqnue.jpeg?q=50
Men Color Block Mid-Calf/Crew,225,599,62% off,Slim Shine,https://rukminim1.flixcart.com/image/329/395/k2qh5zk0/sock/q/z/7/free-mscn-xm-kinnng-original-imafgk3xuqgnyjcy.jpeg?q=50
Striped Men Round Neck Black T-Shirt,249,999,75% off,Rezalia,https://rukminim1.flixcart.com/image/329/395/jxhv1jk0/t-shirt/n/d/f/xl-rzl-rnd-full-patti-blk-rezalia-original-imafhy6jbygfeh5t.jpeg?q=50
"Solid Men Hooded Neck Red, Black, Grey T-Shirt",449,"1,999",77% off,LEWEL,https://rukminim1.flixcart.com/image/329/395/jvcp9jk0/t-shirt/u/b/g/xl-49grb-lewel-original-imafg9dnw9fez9xf.jpeg?q=50
SpringLoom Premium Quality Men's Women's Pure Cotton Ha...,255,499,48% off,NaN,https://rukminim1.flixcart.com/image/329/395/jzn0tjk0/handkerchief/j/r/w/premium-quality-men-s-women-s-pure-cotton-hanky-12-jfgjpp-5637-original-imaeyercmydabnfy.jpeg?q=50
Full Sleeve Printed Men Jacket,549,"1,999",72% off,Tripr,https://rukminim1.flixcart.com/image/329/395/jp02t8w0/sweatshirt/4/s/3/s-trdsweatabs1-tripr-original-imafba7amtg5z4bd.jpeg?q=50
Solid Men Light Green Regular Shorts,779,"1,199",35% off,Peter England University,https://rukminim1.flixcart.com/image/329/395/k79dd3k0/short/f/h/f/30-pusrurgpz45924-peter-england-university-original-imafpjk8raghxfk3.jpeg?q=50
"Men & Women Solid, Self Design Mid-Calf/Crew",199,499,60% off,hicode,https://rukminim1.flixcart.com/image/329/395/jza5uvk0/sock/g/4/e/free-full-0011-hicode-original-imafjbj8dnhyrapt.jpeg?q=50
Solid Men Round Neck Black T-Shirt,199,399,50% off,Tap in,https://rukminim1.flixcart.com/image/329/395/jvl9wnk0/t-shirt/x/t/2/m-plain-half-tees-black-elepants-original-imafg3p2chvty7db.jpeg?q=50
Jogger Fit Men Black Jeans,799,"1,699",52% off,Urbano Fashion,https://rukminim1.flixcart.com/image/329/395/ka492fk0/jean/b/d/o/36-zip-jog-hps-black-urbano-fashion-original-imafrqg3nhcefzjt.jpeg?q=50
Men Ankle Length,190,784,75% off,AR Sales,https://rukminim1.flixcart.com/image/329/395/jpr86fk0/sock/g/3/x/free-combo-of-4-pair-mens-socks-ar-sales-original-imafbxb8rgxxjug2.jpeg?q=50
"Men & Women Self Design, Solid Ankle Length",249,998,75% off,hicode,https://rukminim1.flixcart.com/image/329/395/kamtsi80/sock/1/m/o/free-sport-0253-hicode-original-imafkntg7gryms4g.jpeg?q=50
Solid Men Grey Basic Shorts,648,649,NaN,Van Heusen,https://rukminim1.flixcart.com/image/329/395/jlic2a80/short/9/y/k/xxl-50001-graphite-van-heusen-original-imaf8mpfcqw9rwte.jpeg?q=50
Slim Fit Men Maroon Cotton Lycra Blend Trousers,728,"1,549",53% off,Highlander,https://rukminim1.flixcart.com/image/329/395/k70spzk0/trouser/e/r/p/30-hltr003917-highlander-original-imafpchqzbuvcgay.jpeg?q=50
Striped Men Round Neck Blue T-Shirt,331,999,66% off,GHPC,https://rukminim1.flixcart.com/image/329/395/k7gikcw0/t-shirt/y/r/e/s-ts918303-ghpc-original-imafppfzmhxtpsxq.jpeg?q=50
Slim Men Grey Jeans,749,"1,499",50% off,Metronaut,https://rukminim1.flixcart.com/image/329/395/jyafukw0/jean/k/8/s/32-maw19jn008-metronaut-original-imafghefqmzmbwm2.jpeg?q=50
"Women's, Men's Shapewear",97,799,87% off,3mads,https://rukminim1.flixcart.com/image/329/395/jxz0brk0/shapewear/x/r/p/xl-double-strength-slimming-belt-tummy-trimmer-neotex-unisex-original-imafgsbyzqxtd2kz.jpeg?q=50
"Solid Men Blue, Black Sports Shorts",779,"1,199",35% off,Wildcraft,https://rukminim1.flixcart.com/image/329/395/jge09e80/short/c/b/z/m-40578blue-mel-wildcraft-original-imaf4mwekgcj9w93.jpeg?q=50
Solid Men Henley Blue T-Shirt,329,999,67% off,Try This,https://rukminim1.flixcart.com/image/329/395/jiovssw0/t-shirt/y/5/8/xxl-blue-henley-try-this-original-imaf6fg3aby4sw5z.jpeg?q=50
Solid Men Hooded Black T-Shirt,259,999,74% off,Inkovy,https://rukminim1.flixcart.com/image/329/395/jl5h3m80/t-shirt/g/n/c/s-weft-hood-full-black-weft-original-imae6efgcsbchwy9.jpeg?q=50
Full Sleeve Printed Men Jacket,549,"1,999",72% off,Tripr,https://rukminim1.flixcart.com/image/329/395/jp02t8w0/sweatshirt/4/s/3/s-trdsweatabs1-tripr-original-imafba7amtg5z4bd.jpeg?q=50
Solid Men Black Track Pants,989,"1,599",38% off,Wildcraft,https://rukminim1.flixcart.com/image/329/395/jyyqc280/track-pant/p/g/s/m-41864black-wildcraft-original-imafj3h4zh8rgjzt.jpeg?q=50
Slim Fit Men Dark Blue Cotton Blend Trousers,974,"1,499",35% off,Peter England University,https://rukminim1.flixcart.com/image/329/395/k687wy80/trouser/z/g/k/32-putfusspb90921-peter-england-university-original-imafzq27vsuxh4f3.jpeg?q=50
Men Color Block Party Shirt,599,"1,199",50% off,House Of Sensation,https://rukminim1.flixcart.com/image/329/395/jmccb680/shirt/4/m/q/38-07082018-partywear-a2-anu06-house-of-sensation-original-imaf98xa262ybypx.jpeg?q=50
Solid Men Hooded Black T-Shirt,208,999,79% off,hero & piyush,https://rukminim1.flixcart.com/image/329/395/jph83gw0/t-shirt/m/p/9/xl-kit-7-xl-hero-piyush-original-imaerffktfj8kds4.jpeg?q=50
Color Block Men Round Neck Black T-Shirt,284,999,71% off,Smartees,https://rukminim1.flixcart.com/image/329/395/k7f34i80/t-shirt/w/z/d/m-two-strp-black-smartees-original-imafpntvwhrkhwpu.jpeg?q=50
Tripr Men Vest,501,"1,499",66% off,NaN,https://rukminim1.flixcart.com/image/329/395/k59xci80/vest/g/f/h/l-tbl-rdvestabs1-tripr-original-imafnzzkbvbufgzn.jpeg?q=50
Men & Women Geometric Print Mid-Calf/Crew,219,499,56% off,HICODE,https://rukminim1.flixcart.com/image/329/395/k4yhtow0/sock/h/7/k/free-fulldiamond-0431-4-pair-multi-hicode-original-imafnqfyguj2h82v.jpeg?q=50
